external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP'},"{'href': None, 'total': 20231701}","['pop', 'r&b', 'rap']",https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,7tYKF4w9nC0nq9CsPZTHyP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740895066d172e1f51f520bc65', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780895066d172e1f51f520bc65', 'width': 160}]",SZA,88,artist,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
{'spotify': 'https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym'},"{'href': None, 'total': 5359184}",['pop'],https://api.spotify.com/v1/artists/45dkTj5sMRSjrmBSBeiHym,45dkTj5sMRSjrmBSBeiHym,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb846308bf9bf7d3183958b3a6', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174846308bf9bf7d3183958b3a6', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178846308bf9bf7d3183958b3a6', 'width': 160}]",Tate McRae,81,artist,spotify:artist:45dkTj5sMRSjrmBSBeiHym
{'spotify': 'https://open.spotify.com/artist/11p2E654TTU8e0nZWBR4AL'},"{'href': None, 'total': 367608}",['singer-songwriter pop'],https://api.spotify.com/v1/artists/11p2E654TTU8e0nZWBR4AL,11p2E654TTU8e0nZWBR4AL,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebda2c4f9ad7be81648bb02e0f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174da2c4f9ad7be81648bb02e0f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178da2c4f9ad7be81648bb02e0f', 'width': 160}]",Mark Ambor,74,artist,spotify:artist:11p2E654TTU8e0nZWBR4AL
{'spotify': 'https://open.spotify.com/artist/7CvTknweLr9feJtRGrpDBy'},"{'href': None, 'total': 355852}",['reggaeton chileno'],https://api.spotify.com/v1/artists/7CvTknweLr9feJtRGrpDBy,7CvTknweLr9feJtRGrpDBy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8f087f6746903914b7488258', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748f087f6746903914b7488258', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788f087f6746903914b7488258', 'width': 160}]",FloyyMenor,79,artist,spotify:artist:7CvTknweLr9feJtRGrpDBy
{'spotify': 'https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE'},"{'href': None, 'total': 1273988}",[],https://api.spotify.com/v1/artists/3SozjO3Lat463tQICI9LcE,3SozjO3Lat463tQICI9LcE,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebcc628db5cd6fffcb659decab', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174cc628db5cd6fffcb659decab', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178cc628db5cd6fffcb659decab', 'width': 160}]",Tyla,77,artist,spotify:artist:3SozjO3Lat463tQICI9LcE
{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},"{'href': None, 'total': 94619623}","['art pop', 'pop']",https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,6qqNVTkY8uBg9cP3Jd7DAH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da', 'width': 160}]",Billie Eilish,92,artist,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},"{'href': None, 'total': 29369240}","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174437b9e2a82505b3d93ff1022', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178437b9e2a82505b3d93ff1022', 'width': 160}]",Kendrick Lamar,91,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
{'spotify': 'https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we'},"{'href': None, 'total': 43473538}","['dance pop', 'pop', 'uk pop']",https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we,6M2wZ9GZgrQXHCFfjv46we,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740c68f6c95232e716f0abee8d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780c68f6c95232e716f0abee8d', 'width': 160}]",Dua Lipa,87,artist,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
{'spotify': 'https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs'},"{'href': None, 'total': 8432192}","['kentucky hip hop', 'r&b', 'rap']",https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs,2EMAnMvWE2eb56ToJVfCWs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174078fdd734b7f0aa782328428', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178078fdd734b7f0aa782328428', 'width': 160}]",Bryson Tiller,80,artist,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
{'spotify': 'https://open.spotify.com/artist/4OVbrPbhvK46A1uXTU1u5F'},"{'href': None, 'total': 388498}",['jersey club'],https://api.spotify.com/v1/artists/4OVbrPbhvK46A1uXTU1u5F,4OVbrPbhvK46A1uXTU1u5F,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb07942dc3dd27e45db144ba76', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517407942dc3dd27e45db144ba76', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17807942dc3dd27e45db144ba76', 'width': 160}]",Lay Bankz,72,artist,spotify:artist:4OVbrPbhvK46A1uXTU1u5F
